,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
487,2012-06-06,9.591034798481845,-59.82208908972759,55.14562687426852,9.591034798481845,9.591034798481845,-13.64977181147867,-13.64977181147867,-13.64977181147867,-0.1796711260134707,-0.1796711260134707,-0.1796711260134707,-13.4701006854652,-13.4701006854652,-13.4701006854652,0.0,0.0,0.0,-4.058737012996826
488,2012-06-07,9.60203855893198,-59.312434036068616,51.694626799151884,9.60203855893198,9.60203855893198,-13.955586610399696,-13.955586610399696,-13.955586610399696,-0.6562877815456591,-0.6562877815456591,-0.6562877815456591,-13.299298828854035,-13.299298828854035,-13.299298828854035,0.0,0.0,0.0,-4.353548051467715
489,2012-06-08,9.613042319382114,-59.93388671680694,53.14154874018309,9.613042319382114,9.613042319382114,-14.192672713929582,-14.192672713929582,-14.192672713929582,-1.0535156581766745,-1.0535156581766745,-1.0535156581766745,-13.139157055752907,-13.139157055752907,-13.139157055752907,0.0,0.0,0.0,-4.579630394547468
490,2012-06-11,9.646053600732516,-65.78319348521927,53.53265766193833,9.646053600732516,9.646053600732516,-12.904870891081286,-12.904870891081286,-12.904870891081286,-0.21081261080122995,-0.21081261080122995,-0.21081261080122995,-12.694058280280055,-12.694058280280055,-12.694058280280055,0.0,0.0,0.0,-3.2588172903487695
491,2012-06-12,9.657057361182652,-63.09739920216013,56.363573903762365,9.657057361182652,9.657057361182652,-12.882736684103461,-12.882736684103461,-12.882736684103461,-0.3374424043543975,-0.3374424043543975,-0.3374424043543975,-12.545294279749065,-12.545294279749065,-12.545294279749065,0.0,0.0,0.0,-3.2256793229208096
492,2012-06-13,9.668061121632785,-56.626042146649354,56.33666984375935,9.668061121632785,9.668061121632785,-12.569113715604498,-12.569113715604498,-12.569113715604498,-0.17967112601389856,-0.17967112601389856,-0.17967112601389856,-12.3894425895906,-12.3894425895906,-12.3894425895906,0.0,0.0,0.0,-2.9010525939717127
493,2012-06-14,9.679064882082919,-64.07918489868007,52.429915078830206,9.679064882082919,9.679064882082919,-12.878506766423307,-12.878506766423307,-12.878506766423307,-0.6562877815467075,-0.6562877815467075,-0.6562877815467075,-12.2222189848766,-12.2222189848766,-12.2222189848766,0.0,0.0,0.0,-3.199441884340388
494,2012-06-15,9.690068642533054,-58.40214451872955,56.80048655755125,9.690068642533054,9.690068642533054,-13.092979089310646,-13.092979089310646,-13.092979089310646,-1.053515658178623,-1.053515658178623,-1.053515658178623,-12.039463431132024,-12.039463431132024,-12.039463431132024,0.0,0.0,0.0,-3.4029104467775912
495,2012-06-18,9.723079923883457,-56.309014482802276,54.493288583011314,9.723079923883457,9.723079923883457,-11.572287974084581,-11.572287974084581,-11.572287974084581,-0.21081261080000577,-0.21081261080000577,-0.21081261080000577,-11.361475363284574,-11.361475363284574,-11.361475363284574,0.0,0.0,0.0,-1.849208050201124
496,2012-06-19,9.734083684333593,-60.922953687946986,53.496939138072555,9.734083684333593,9.734083684333593,-11.420157273770169,-11.420157273770169,-11.420157273770169,-0.33744240435358663,-0.33744240435358663,-0.33744240435358663,-11.082714869416582,-11.082714869416582,-11.082714869416582,0.0,0.0,0.0,-1.6860735894365764
